10	1.8969
20	2.6602
30	2.4309
40	2.3799
50	3.1109
60	2.8500
70	2.9944
80	2.9011
90	2.6443
100	3.3807
110	3.1252
120	4.0603
130	5.1685
140	4.9952
150	4.5507
160	4.4192
170	4.9172
180	5.4460
190	5.3147
200	5.5245
210	5.5289
220	5.1127
230	5.4149
240	5.3870
250	5.0731
260	5.0411
270	5.2826
280	5.1731
290	5.4915
300	5.6125
310	5.0537
320	5.4052
330	5.7354
340	5.2910
350	5.2388
360	5.5509
370	5.2521
380	5.2294
390	5.4855
400	5.4197
410	5.3898
420	5.2214
430	5.5861
440	5.4092
450	5.0727
460	4.9003
470	5.5311
480	5.4245
490	5.4717
500	5.5678
510	4.9951
520	5.5914
530	5.0931
540	5.3703
550	5.6966
560	5.1992
570	5.6720
580	5.4485
590	5.3417
600	5.3931
610	5.0637
620	5.3163
630	5.3273
640	5.4839
650	5.4623
660	5.4450
670	5.1697
680	5.5181
690	5.4257
700	5.2190
710	5.5002
720	5.4874
730	5.1239
740	5.3786
750	5.4025
760	5.2009
770	5.4790
780	4.9584
790	5.4487
800	5.2915
810	5.6126
820	5.5346
830	5.3575
840	5.5423
850	5.5397
860	5.1917
870	5.0321
880	5.5397
890	5.4981
900	5.3255
910	5.2888
920	5.4402
930	5.4622
940	5.5724
950	5.2520
960	5.2773
970	5.6728
980	5.3801
990	5.3539
1000	5.4155
1010	5.3482
1020	5.4310
1030	5.3617
1040	5.5092
1050	5.1240
1060	5.3715
1070	5.5387
1080	5.1514
1090	5.4203
1100	5.6328
1110	5.3033
1120	5.4820
1130	5.3918
1140	5.5175
1150	5.1538
1160	5.4778
1170	5.4619
1180	5.4410
1190	5.1349
1200	5.0932
1210	5.5470
1220	5.3663
1230	5.2265
1240	5.6193
1250	5.5060
1260	5.3016
1270	5.6404
1280	5.2241
1290	5.3299
1300	5.4468
1310	5.3545
1320	5.5407
1330	4.9566
1340	5.4209
1350	5.2531
1360	5.4812
1370	5.3198
1380	5.7065
1390	5.0505
1400	5.5050
1410	5.4706
1420	5.3629
1430	5.5002
1440	5.3630
1450	5.3071
1460	5.5117
1470	5.4658
1480	5.5515
1490	5.5503
1500	5.4563
1510	5.4467
1520	5.1797
1530	5.3978
1540	5.5002
1550	5.1663
1560	5.3976
1570	5.3789
1580	5.2496
1590	5.4276
1600	5.5136
1610	5.0981
1620	5.3222
1630	5.0090
1640	5.4702
1650	5.3931
1660	5.5385
1670	5.4913
1680	5.5441
1690	5.5223
1700	5.2762
1710	5.3310
1720	5.3219
1730	5.3755
1740	5.1510
1750	5.3779
1760	5.4483
1770	5.4735
1780	5.6986
1790	5.3600
1800	5.3044
1810	5.3998
1820	5.4443
1830	5.3763
1840	5.5085
